GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS,median housing price
1015,"Calhoun County, Alabama","114,611","55,491","59,120","8,005","14,623","14,083","14,990","7,457","8,103",39.1,"4,100","83,235","24,124",197,"1,064","53,337",41687,43972,33694,51817,40451,43812,23944,52393,44738,31668,52838,21597,62.0,115600
1069,"Houston County, Alabama","104,056","50,015","54,041","5,914","13,593","12,681","13,861","7,748","6,083",39.5,"3,380","69,582","27,622",427,"1,054","46,883",42321,39167,25803,75265,37276,51959,17422,41247,53173,35901,54251,24527,325.0,126800
1073,"Jefferson County, Alabama","659,521","310,913","348,608","42,627","95,118","83,165","83,696","46,027","41,225",38.0,"24,554","330,573","279,050",817,"8,366","308,553",50180,261904,36666,75040,44423,65634,23881,52866,59818,36114,66096,29941,1463.0,152000
1077,"Lauderdale County, Alabama","92,318","45,121","47,197","7,304","10,704","10,779","11,550","6,579","6,553",41.6,"2,374","78,261","9,474",132,720,"44,577",43427,37875,36768,"250,000+",21043,45692,23080,45715,58097,39680,64042,26743,91.0,139400
1081,"Lee County, Alabama","158,991","79,257","79,734","21,850","23,465","17,921","19,720","9,102","7,212",31.0,"6,000","106,946","37,190",0,"6,319","67,173",48056,59354,43455,51936,43881,49916,12114,55145,60386,44409,66857,26351,853.0,163400
1089,"Madison County, Alabama","356,967","174,569","182,398","24,816","48,747","44,813","50,994","27,223","20,615",38.8,"17,212","231,900","86,952","2,294","8,383","159,087",60503,143669,38710,106250,36975,72467,26608,65686,75411,48157,83226,37522,2203.0,178200
1097,"Mobile County, Alabama","414,836","197,818","217,018","27,817","57,734","49,476","52,835","28,339","26,534",37.4,"11,581","237,276","147,215","3,328","8,269","182,640",45744,157141,29626,52218,52110,54758,21468,48038,51851,39864,56978,26453,754.0,126800
1101,"Montgomery County, Alabama","226,349","107,250","119,099","16,351","33,610","28,374","28,524","15,254","13,446",36.4,"7,571","78,434","129,882",129,"5,753","104,618",45395,90827,32724,71325,31753,63587,20550,44997,51989,46431,58950,26827,455.0,126000
2020,"Anchorage Municipality, Alaska","298,192","152,882","145,310","23,467","52,809","39,268","36,160","19,589","16,618",33.0,"26,907","174,472","14,891","21,923","26,187","115,539",85634,105249,69351,73506,72929,94914,51272,83545,104178,68626,98717,59348,719.0,320800
4013,"Maricopa County, Arizona","4,242,997","2,097,936","2,145,061","283,922","608,882","552,398","543,539","248,578","233,515",36.2,"1,302,419","2,373,045","221,266","66,973","165,037","1,711,390",58737,1521131,41681,73991,45992,65836,34567,61656,70988,45996,69582,39403,15890.0,239300
4019,"Pima County, Arizona","1,016,206","499,791","516,415","90,201","125,100","113,791","115,628","61,688","66,979",38.3,"373,956","532,392","31,762","24,232","27,121","456,576",47560,400835,43154,45648,40394,53722,25402,50672,56625,42716,60136,30540,2420.0,170300
4021,"Pinal County, Arizona","418,540","217,387","201,153","23,018","53,102","55,455","46,625","25,932","23,195",39.2,"123,040","241,497","16,976","19,155","8,189","170,708",52555,132352,61039,61517,43332,54217,36434,56604,58850,44533,61226,29819,2543.0,166300
4025,"Yavapai County, Arizona","225,562","110,885","114,677","9,437","19,565","19,362","26,041","16,804","23,117",53.1,"32,369","182,201","1,130","3,303","2,258","114,797",50420,94962,51300,74112,59694,49174,37949,53448,56764,44729,62235,25314,1366.0,227500
4027,"Yuma County, Arizona","205,631","106,203","99,428","17,572","27,534","22,430","21,716","9,736","10,323",34.8,"129,159","65,374","3,048","1,841","2,459","91,314",43518,73072,32816,46809,41323,48306,30877,53213,46540,37419,47931,27314,890.0,123300
5007,"Benton County, Arkansas","258,291","128,175","130,116","14,161","37,940","36,806","32,737","14,913","12,523",35.4,"42,298","190,977","3,803","2,479","9,285","102,133",63631,94494,75036,79712,50634,65904,44896,72367,71648,45007,71811,41393,2352.0,170200
5085,"Lonoke County, Arkansas","72,228","35,917","36,311","4,390","10,190","9,399","9,691","4,380","4,388",36.4,"3,212","62,221","3,884",217,987,"29,163",55837,26327,42202,51178,65055,58297,40446,55814,63155,46333,66353,34541,303.0,137000
5119,"Pulaski County, Arkansas","393,250","188,529","204,721","25,771","57,408","48,680","51,115","25,485","25,869",36.8,"23,797","206,918","141,991",593,"8,604","183,282",47387,161291,34505,85211,40164,61725,25976,47168,56518,41928,61233,31666,731.0,153800
5131,"Sebastian County, Arkansas","127,793","61,949","65,844","7,520","17,553","16,070","16,922","9,163","6,923",37.8,"17,789","89,681","8,645","1,807","5,547","56,552",42053,51055,32155,44389,34861,45112,25508,40569,47259,37666,49680,24316,166.0,111900
5143,"Washington County, Arkansas","228,049","113,146","114,903","25,027","33,502","28,949","25,758","11,125","10,875",31.5,"37,407","164,071","8,398","1,892","5,202","92,027",45679,88690,28718,46686,37669,49013,21007,49123,56932,37905,58292,27349,1151.0,168100
6001,"Alameda County, California","1,647,704","809,120","838,584","103,650","272,967","243,462","226,475","107,374","93,487",37.4,"371,072","526,129","171,040","4,618","479,499","599,780",89979,572012,46554,108545,72253,107303,42658,100305,101490,55978,106761,54801,2398.0,713600
6007,"Butte County, California","226,864","111,727","115,137","24,925","27,079","23,961","26,551","15,335","13,774",38.1,"36,282","164,262","3,563","2,041","10,478","98,439",45177,85531,30420,41469,41713,46720,17838,52537,64180,34873,62593,27363,445.0,256500
6013,"Contra Costa County, California","1,135,127","554,517","580,610","68,400","144,333","151,293","165,527","78,053","70,123",39.5,"288,713","502,828","93,005","1,598","180,270","410,814",91045,391288,61243,106138,66971,102621,45986,93568,105627,63044,103280,54866,1924.0,577000
6019,"Fresno County, California","979,915","489,186","490,729","73,215","148,909","119,815","112,412","55,294","46,457",32.1,"517,263","292,739","45,544","3,837","100,468","327,812",48715,303216,29203,55140,38327,62392,23851,48226,59329,40844,53951,30545,2553.0,238100
6025,"Imperial County, California","180,883","92,611","88,272","14,055","26,063","21,409","20,350","9,411","9,055",32.5,"151,497","19,998","3,628",901,"2,648","57,386",49095,44855,40925,72473,46182,62237,47950,59166,54864,27260,57130,20090,213.0,170900
6029,"Kern County, California","884,788","454,117","430,671","69,498","136,121","110,617","102,432","51,373","40,749",31.3,"467,575","306,536","43,845","4,290","39,938","295,240",49903,270359,32411,69223,42302,57380,31930,51143,59349,36429,54475,32989,2141.0,204200
6031,"Kings County, California","149,785","82,378","67,407","13,125","24,398","19,366","19,731","7,708","6,503",31.8,"81,140","48,891","8,982",993,"5,012","45,763",53234,43090,57292,44802,43892,63514,31570,52167,62649,46285,54641,35824,518.0,190500
6037,"Los Angeles County, California","10,137,915","4,994,405","5,143,510","740,323","1,613,327","1,383,874","1,383,893","639,266","549,096",36.3,"4,918,830","2,667,102","793,213","18,045","1,456,307","3,520,811",61338,3305589,43973,70790,50078,80776,32281,64666,70923,44784,68803,42296,5022.0,537900
6041,"Marin County, California","260,651","126,528","134,123","11,813","21,624","33,876","40,903","20,643","19,333",46.1,"41,727","185,261","6,067",274,"13,738","112,885",103845,106333,30768,89548,58451,117804,77217,130462,130588,66387,142090,58350,95.0,974600
