GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,median housing price
1003,"Baldwin County, Alabama","239,294","115,696","123,598","10,753","28,436","27,503","30,037","18,112","17,688",43.9,"11,586","196,641","21,016",463,"1,956","128,533",63866,94105,26850,156460,76152,69508,46279,77768,74914,52310,82899,41895,3315,6.9,29.8,37.3,35.6,34.4,114447,2.8,255800
1055,"Etowah County, Alabama","103,162","49,734","53,428","5,711","12,190","12,327","13,480","7,339","6,961",41.5,"4,779","78,755","14,722",123,357,"47,420",45298,38006,32495,111466,47108,47847,46604,50763,49646,36512,56531,24144,138,3.1,19.9,21.1,15.3,19.5,44893,7.5,133300
1069,"Houston County, Alabama","107,458","51,800","55,658","6,044","13,498","13,767","13,292","5,874","8,372",40.5,"3,917","69,091","29,188",50,"1,116","49,737",46931,44058,31702,89464,43942,54632,26990,46697,59204,38491,60587,28829,431,4.3,17.6,22.5,24.0,18.0,48608,5.0,155500
1073,"Jefferson County, Alabama","667,820","317,276","350,544","41,600","94,972","86,484","79,506","41,501","43,157",38.3,"28,530","322,188","285,835",547,"11,694","309,206",55006,270147,38166,112661,50050,72935,31294,55939,68503,45276,74592,36575,1572,12.9,42.3,40.3,35.2,27.4,325346,5.6,190900
1081,"Lee County, Alabama","177,218","87,082","90,136","20,459","25,674","21,282","20,432","11,054","9,148",33.3,"6,974","118,947","38,262",84,"7,811","77,656",52424,67358,35732,94392,34596,61463,15208,59182,62936,53378,74826,24860,1487,16.1,45.1,40.5,39.3,38.0,87025,3.0,203500
1089,"Madison County, Alabama","395,211","195,279","199,932","25,885","53,272","53,150","49,367","28,860","27,147",39.6,"21,621","251,327","91,813","1,323","7,301","174,149",78525,164493,51022,70670,77602,89284,34630,87317,100818,53173,97005,43530,3757,14.8,51.2,51.7,46.9,39.2,203035,3.4,254600
1095,"Marshall County, Alabama","98,228","47,339","50,889","6,186","12,254","11,515","11,497","6,630","6,343",37.8,"15,325","77,360","2,871",110,750,"41,502",50191,36003,39195,126023,37294,52612,48684,44858,63776,39863,62807,26505,154,5.9,21.6,19.1,22.6,15.3,44706,7.2,156600
1097,"Mobile County, Alabama","413,073","197,854","215,219","26,705","56,044","51,449","47,999","27,883","26,548",38.8,"12,800","229,039","148,087","1,541","9,163","185,315",49721,162963,34709,53646,40654,63377,32669,52181,57579,40805,65139,28824,970,7.4,23.5,30.3,20.4,20.5,191993,7.2,159500
1101,"Montgomery County, Alabama","227,434","106,323","121,111","15,018","31,891","29,836","25,857","15,754","12,291",37.2,"8,795","69,823","134,885",118,"8,117","105,705",50385,92407,36272,94136,40461,70414,38572,42225,62218,46019,61467,35168,580,10.2,32.0,34.1,33.9,35.6,108025,7.7,145900
1117,"Shelby County, Alabama","226,902","109,625","117,277","13,229","26,692","31,508","31,414","13,616","15,902",40.6,"13,553","168,652","24,831","1,592","4,883","90,921",84260,86970,62871,96443,51916,89291,52038,87621,105570,62389,103488,41195,1154,16.5,52.6,46.6,48.0,42.7,120421,2.3,279500
