GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS,median housing price
1069,"Houston County, Alabama","103,668","49,901","53,767","6,485","13,222","13,171","14,335","6,526","6,536",39.3,"3,447","69,985","26,849",456,981,"45,975",39006,40448,24275,80798,29065,45983,22155,41046,46812,31797,50032,22328,252.0,119900
1073,"Jefferson County, Alabama","659,479","311,972","347,507","44,739","94,310","84,583","87,517","45,485","41,626",37.6,"25,154","335,546","277,599","1,838","8,943","303,187",45013,257398,31668,71759,32565,59278,15580,50329,52823,34690,59172,27153,1119.0,143300
1089,"Madison County, Alabama","346,892","169,325","177,567","25,453","46,639","42,437","54,841","23,847","18,497",37.7,"16,242","227,716","85,037","1,941","9,299","152,222",58076,137072,36132,71033,50353,68353,17289,54933,79291,44306,73377,37098,1855.0,162300
1095,"Marshall County, Alabama","94,760","45,644","49,116","5,822","11,925","12,460","12,565","5,935","5,607",39.3,"12,188","78,241","1,430",675,264,"40,158",38116,33738,30048,90771,33489,39227,39589,39682,44774,26446,49385,19984,41.0,117100
1097,"Mobile County, Alabama","414,079","198,492","215,587","29,721","55,374","50,073","56,332","28,430","24,224",37.0,"10,789","240,820","144,449","1,625","7,932","180,503",42944,148025,25567,50868,40410,51598,17961,43854,50798,33152,51495,23756,624.0,121200
1101,"Montgomery County, Alabama","226,659","107,820","118,839","17,557","33,119","27,516","30,005","15,186","11,475",35.1,"7,770","83,573","127,608",123,"4,982","102,895",44675,87996,35366,76173,26687,61328,20943,41016,65778,42515,59316,31090,474.0,119000
1117,"Shelby County, Alabama","204,180","99,787","104,393","11,724","25,297","31,641","29,275","13,662","11,022",38.0,"12,292","160,936","24,119",208,"3,911","82,476",67800,73694,66452,53120,32066,70998,43636,71340,80060,45106,81526,36680,759.0,192700
1125,"Tuscaloosa County, Alabama","200,821","97,451","103,370","27,943","28,229","22,579","23,074","12,835","9,891",31.5,"6,468","126,631","61,288",371,"2,915","86,553",46538,69291,33965,60015,55828,52475,14468,53418,54369,37395,59058,24915,574.0,152100
2020,"Anchorage Municipality, Alaska","300,950","153,776","147,174","27,779","50,495","38,137","40,432","21,661","13,447",32.4,"26,021","181,876","17,457","21,407","24,537","113,766",79045,103445,51035,80623,56600,88544,41848,81358,94322,65014,90480,50414,475.0,295500
2170,"Matanuska-Susitna Borough, Alaska","95,192","49,620","45,572","6,704","12,387","12,096","13,632","6,530","5,953",34.3,"4,251","77,053","1,021","4,409","1,249","41,240",72122,30272,77222,46042,52000,74149,52768,74945,76448,53315,83506,36526,25.0,220700
4003,"Cochise County, Arizona","129,473","65,945","63,528","7,170","16,782","13,807","16,326","8,439","8,552",40.3,"43,895","73,480","5,047","1,019","2,215","60,286",46647,48368,38457,74422,34703,51911,12600,55189,59897,32114,56857,30524,172.0,150000
4013,"Maricopa County, Arizona","4,009,412","1,983,791","2,025,621","285,584","567,894","537,767","519,876","225,669","213,274",35.6,"1,203,221","2,303,560","196,496","60,332","145,413","1,668,234",52045,1425393,36386,71559,38428,59691,27465,55265,63663,40789,62060,35318,10835.0,185000
4015,"Mohave County, Arizona","203,030","103,169","99,861","10,380","18,611","19,777","27,105","16,390","15,290",49.2,"31,467","159,135","2,422","4,183","2,253","111,717",39058,81257,9255,56382,39228,38923,12118,50395,39357,36397,48773,25828,454.0,123900
4019,"Pima County, Arizona","996,554","491,516","505,038","88,958","122,233","114,966","121,659","66,124","59,633",38.0,"355,741","534,933","31,797","23,704","24,390","446,987",43824,391975,26301,42041,34304,50586,21256,46778,54597,39952,55220,28637,2623.0,155300
4021,"Pinal County, Arizona","389,350","202,854","186,496","21,849","51,588","52,880","43,856","22,700","22,747",37.5,"112,963","226,420","17,604","17,385","5,661","164,254",49756,128036,53093,50453,41327,52112,33757,53691,51492,41437,53186,30721,2124.0,135100
4027,"Yuma County, Arizona","201,201","103,447","97,754","17,395","26,198","21,574","22,681","10,330","9,076",33.5,"123,022","67,086","4,319","1,878","2,275","89,610",41666,69744,52791,48672,36523,48155,26501,46840,51720,31233,44602,25118,670.0,108800
5007,"Benton County, Arkansas","237,297","117,822","119,475","13,978","33,684","33,917","30,311","13,115","11,627",35.1,"37,934","178,136","3,263","3,404","8,648","95,722",56570,82644,48259,74274,40252,59436,34652,63219,63891,42146,64165,32422,1593.0,143500
5119,"Pulaski County, Arkansas","391,284","188,455","202,829","26,521","62,039","49,018","51,779","26,824","22,617",36.1,"23,088","212,473","136,829",586,"7,553","179,857",46368,148694,32032,60448,29569,57023,30557,46206,52903,41151,60124,31163,720.0,141700
5131,"Sebastian County, Arkansas","127,342","61,924","65,418","9,576","17,391","14,103","18,064","8,020","8,107",37.0,"16,745","90,961","7,657","1,261","5,706","55,604",41056,50095,20095,46733,26256,47244,22519,50984,41083,30831,50084,22938,187.0,127600
5143,"Washington County, Arkansas","216,410","108,545","107,865","23,861","32,169","28,879","24,661","11,648","9,632",31.5,"34,832","156,173","11,213","1,694","5,510","88,909",42073,81198,31823,60669,30794,44996,23336,42134,61901,39803,57188,26341,792.0,148600
6001,"Alameda County, California","1,578,891","774,312","804,579","108,719","246,262","235,027","223,435","101,115","88,574",37.1,"358,007","522,860","179,125","5,052","429,067","587,829",72399,555909,39272,93193,56726,84833,27033,77957,84555,48340,88720,46047,1391.0,518900
6013,"Contra Costa County, California","1,094,205","534,456","559,749","67,378","136,166","148,633","163,952","76,377","63,293",38.8,"272,904","505,090","94,693","3,369","163,224","404,167",79100,382356,45942,101963,52044,92316,36825,82110,98259,51352,94574,45429,1681.0,424100
6019,"Fresno County, California","955,272","477,373","477,899","79,310","140,250","115,536","113,727","51,953","43,814",31.4,"492,592","298,548","46,709","4,035","94,134","320,796",43925,293517,24332,46572,33643,57805,21205,43554,52542,37056,48229,27242,2350.0,185200
6025,"Imperial County, California","176,584","90,256","86,328","14,234","24,927","21,242","21,951","8,783","9,115",31.9,"144,486","22,388","4,496","1,370","2,243","56,492",43310,47430,142722,84556,40519,54107,17145,56929,48162,27434,47116,22090,297.0,148400
6029,"Kern County, California","864,124","443,835","420,289","71,118","127,992","108,776","105,606","44,067","40,937",31.0,"439,674","318,114","45,835","5,239","37,697","288,383",46879,257183,32367,63166,37847,58517,29633,49304,59051,35558,51929,31442,1795.0,161000
6031,"Kings County, California","150,960","84,044","66,916","12,567","23,953","21,032","20,502","7,464","5,984",31.6,"79,551","51,302","9,745","1,139","5,350","44,522",45774,41813,61353,61560,34719,57388,37853,48108,49413,36306,46260,31169,250.0,169200
6037,"Los Angeles County, California","10,017,068","4,941,791","5,075,277","784,999","1,542,256","1,409,696","1,373,801","609,792","501,258",35.5,"4,834,936","2,703,681","801,603","18,335","1,392,815","3,462,431",54529,3247705,40042,64932,43352,73081,27478,56457,63158,39791,60792,39402,3839.0,420200
6039,"Madera County, California","152,389","74,952","77,437","10,987","20,811","19,317","18,529","8,535","8,245",33.5,"84,923","55,531","4,863","2,130","3,066","49,566",39758,44549,30410,75778,38052,48107,24298,39160,51771,29429,45737,24252,215.0,174700
6041,"Marin County, California","258,365","128,095","130,270","10,412","23,495","34,659","41,351","20,602","19,921",45.5,"40,650","185,939","5,645",165,"15,283","111,566",96580,102847,54132,94788,51063,106538,42633,98588,112434,73273,120519,55466,170.0,784200
6047,"Merced County, California","263,228","133,668","129,560","21,386","36,238","33,123","30,695","14,997","9,930",30.4,"149,418","79,123","8,180",685,"20,861","83,842",40687,77651,31601,43226,37439,45292,30542,40153,50725,34771,43430,29810,99.0,147200
6053,"Monterey County, California","428,826","220,192","208,634","33,288","64,451","55,513","52,626","23,272","22,790",33.4,"243,635","135,474","10,358","1,110","26,084","139,386",57052,125553,70391,59467,43535,73158,32331,50806,70939,53140,61872,37977,190.0,363800
6055,"Napa County, California","140,326","69,814","70,512","9,179","17,520","17,315","19,254","10,228","8,686",40.3,"46,807","76,432","2,952",759,"10,328","54,939",70914,47482,85940,85990,51865,75491,24067,67340,90367,49058,80375,42891,63.0,443000
6059,"Orange County, California","3,114,363","1,541,578","1,572,785","230,313","434,920","429,079","453,262","197,718","159,259",36.9,"1,065,977","1,321,838","49,067","6,548","582,557","1,060,030",74163,1003790,65506,76158,52765,85769,35227,75004,91879,51907,82861,50690,3670.0,539000
6061,"Placer County, California","367,309","179,952","187,357","20,996","40,382","46,536","53,797","25,257","22,592",40.8,"49,090","273,877","4,308","1,426","22,860","155,879",73328,134284,137478,88455,60285,73627,33266,82491,86762,50060,84156,41860,1266.0,352500
6065,"Riverside County, California","2,292,507","1,142,160","1,150,347","172,502","305,653","294,989","298,927","126,284","114,145",34.3,"1,075,767","868,206","134,392","9,604","136,703","811,100",54095,693585,47195,70379,47389,61081,28261,56228,66396,40834,60830,33084,4432.0,236400
6067,"Sacramento County, California","1,462,131","715,812","746,319","107,212","218,106","189,932","197,303","94,522","76,060",35.4,"325,428","689,293","140,813","6,517","213,282","558,823",52936,520580,33041,58163,44049,59720,22553,56303,62327,42184,60887,37552,1762.0,238000
6071,"San Bernardino County, California","2,088,371","1,040,242","1,048,129","174,910","299,357","270,304","272,486","121,901","97,297",32.4,"1,066,337","652,947","174,095","5,246","135,692","703,253",52323,604090,41495,74892,47029,58936,30444,53510,62498,38296,58204,31231,2040.0,230500
6073,"San Diego County, California","3,211,252","1,614,671","1,596,581","272,401","509,489","425,444","424,924","194,336","167,954",35.1,"1,057,428","1,510,757","154,477","11,962","356,394","1,176,799",61426,1093386,46650,76321,46875,70302,34551,62325,76283,47259,71608,42136,2565.0,411000
6075,"San Francisco County, California","837,442","425,845","411,597","52,623","186,825","135,803","114,197","52,144","50,286",38.7,"128,395","346,442","46,119","1,501","279,091","381,001",77485,354651,30368,64859,53670,101272,31793,105021,77785,38562,95421,63619,54.0,778000
6077,"San Joaquin County, California","704,379","350,997","353,382","53,131","94,280","90,127","91,310","42,330","33,151",33.5,"282,392","243,483","46,103","1,664","100,494","235,940",51432,216309,32864,58904,40694,62356,24176,51936,61936,41769,57111,30612,1062.0,208900
6081,"San Mateo County, California","747,373","368,430","378,943","41,545","105,439","110,790","109,887","50,531","45,141",39.3,"189,660","304,170","18,389",948,"194,490","272,154",91322,258791,41774,99756,64756,104624,49702,96653,111843,54387,108410,54957,363.0,748300
6083,"Santa Barbara County, California","435,697","218,766","216,931","49,074","56,631","49,668","52,438","26,929","21,850",33.6,"192,114","201,626","6,937","2,043","22,077","153,526",62421,140665,41958,62126,45835,73917,32494,66327,80538,50743,75073,39951,370.0,437300
6085,"Santa Clara County, California","1,862,041","936,044","925,997","118,869","279,402","282,343","270,062","117,301","89,943",36.7,"498,101","629,281","46,412","2,803","618,937","642,654",92014,619337,52870,113644,59407,100633,39949,104170,106598,52933,104307,60346,1729.0,682300
6087,"Santa Cruz County, California","269,419","133,491","135,928","29,017","31,628","32,259","35,869","19,859","18,640",36.8,"88,768","156,976","2,049",540,"11,776","104,677",68438,93982,89215,68613,50003,73218,15451,63616,87866,47359,82904,41001,173.0,535500
6089,"Shasta County, California","178,980","87,894","91,086","11,862","20,626","19,016","23,750","14,079","11,927",41.9,"16,333","145,080","1,609","4,129","5,048","77,533",40332,69729,39011,30743,31452,42064,20109,42855,48946,33300,49550,25056,204.0,209700
6095,"Solano County, California","424,788","212,203","212,585","32,268","59,078","52,683","60,649","30,186","25,765",37.2,"107,118","169,796","59,257","1,303","60,831","153,867",63520,142577,50078,81158,53539,71873,34989,72640,76530,48316,75598,42830,540.0,259800
6097,"Sonoma County, California","495,025","244,183","250,842","32,608","64,020","60,682","69,375","38,653","33,863",40.9,"127,986","321,300","6,473","3,675","18,360","205,684",61029,189087,55290,72944,48120,63961,23844,61213,75585,50213,73969,42015,453.0,406900
6099,"Stanislaus County, California","525,491","260,324","265,167","39,458","72,553","67,277","67,314","30,613","25,343",33.6,"228,480","235,151","12,581","1,855","29,918","179,705",47962,167411,27428,70493,39131,56097,24202,46601,59919,37659,55336,29536,280.0,175000
6101,"Sutter County, California","95,350","47,571","47,779","6,961","11,287","13,085","12,100","5,578","5,013",35.8,"28,198","46,345","2,160",374,"14,393","33,954",49139,31753,53413,42327,37470,58697,16686,51133,60179,40776,59297,25897,55.0,177800
6107,"Tulare County, California","454,143","228,435","225,708","34,920","64,405","54,546","52,837","21,752","21,059",30.2,"283,051","140,198","5,978","3,223","15,670","144,323",39422,133409,34754,40482,32619,50858,22669,43129,41708,33814,40747,27879,870.0,160400
6111,"Ventura County, California","839,620","416,790","422,830","61,018","108,527","107,559","119,921","58,466","44,715",37.2,"348,723","395,890","12,999","2,719","57,153","282,819",77363,265788,81133,104845,56165,86786,40338,80289,92739,52719,86048,48713,430.0,443700
6113,"Yolo County, California","204,593","100,216","104,377","28,194","27,347","23,701","23,949","11,205","10,095",31.0,"64,010","99,064","4,182",573,"27,535","75,710",54898,71024,23489,44063,44689,66806,19125,58327,74593,44143,72160,27743,305.0,331200
8001,"Adams County, Colorado","469,193","236,733","232,460","31,598","74,482","68,944","60,297","23,915","23,487",33.1,"180,907","244,358","13,068","2,731","16,589","164,402",54878,157392,50809,57073,47160,61133,29758,60430,66693,36438,63754,39019,1032.0,191900
8005,"Arapahoe County, Colorado","607,070","299,080","307,990","38,600","90,236","86,726","83,926","39,255","34,853",36.3,"112,777","378,945","57,700","1,649","32,434","240,910",60956,230276,45269,71532,39195,67991,26188,59952,72445,51941,72867,39793,1206.0,236400
