GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS,median housing price
1055,"Etowah County, Alabama","103,531","50,191","53,340","6,993","11,581","13,713","14,019","7,387","6,702",40.4,"3,804","80,781","15,992",291,686,"47,502",40529,39714,31309,"250,000+",28343,42797,21802,49146,47256,32024,53002,19322,79.0,99700
1073,"Jefferson County, Alabama","660,793","312,139","348,654","43,689","95,130","85,216","85,379","47,155","39,880",37.5,"24,828","335,894","276,148","1,976","10,715","305,055",44646,261980,31868,53848,29737,60165,26721,48655,50310,36863,58311,28679,1298.0,142500
1081,"Lee County, Alabama","154,255","75,977","78,278","22,658","22,702","19,570","17,440","6,800","8,197",30.5,"6,089","104,013","35,766",134,"5,159","65,570",39932,57880,25383,42779,41895,45971,13370,40735,65835,37990,57350,20481,751.0,156000
1089,"Madison County, Alabama","350,299","170,383","179,916","24,577","48,207","42,582","54,324","23,665","20,392",37.9,"16,472","228,744","81,600","1,275","8,597","154,464",58339,140771,35192,80379,41561,68571,26952,52305,79349,46171,77209,32813,1700.0,171600
1095,"Marshall County, Alabama","94,636","46,429","48,207","5,586","11,140","12,549","12,514","5,268","6,246",38.7,"12,254","77,679","2,294",250,449,"40,333",33446,34872,24428,36518,27180,34497,31053,38835,38123,26955,41642,21027,28.0,106400
1097,"Mobile County, Alabama","415,123","198,456","216,667","29,498","54,602","50,658","56,341","29,694","24,312",37.5,"11,520","239,892","146,051","2,343","8,596","181,618",43642,153450,25737,50933,40248,54690,25182,46148,51691,35086,53464,24503,746.0,120700
1101,"Montgomery County, Alabama","226,189","107,696","118,493","18,499","32,585","28,325","28,592","14,415","12,987",35.7,"7,752","82,093","127,447",359,"5,623","103,434",43346,89415,32223,66205,39089,61376,26119,45456,50876,35209,54780,30534,460.0,125400
1117,"Shelby County, Alabama","206,655","101,079","105,576","11,660","26,226","30,525","29,163","13,349","12,887",38.2,"12,296","161,849","24,328",48,"4,162","83,495",67754,75714,52607,83681,35251,71545,30456,70187,85140,42742,82078,35747,896.0,191700
2020,"Anchorage Municipality, Alaska","301,010","153,176","147,834","27,725","50,955","38,536","38,969","20,830","13,793",32.1,"26,813","179,205","16,368","20,564","27,664","114,320",76337,104683,50484,64528,53218,91267,43743,77495,90757,72850,86241,55234,572.0,289400
4001,"Apache County, Arizona","71,828","35,228","36,600","4,736","7,873","8,518","8,927","4,455","4,160",34.3,"4,564","13,619",839,"51,753",350,"32,657",33076,18766,36505,57833,27030,54106,7250,33836,43341,25767,42208,16288,38.0,82900
4003,"Cochise County, Arizona","127,448","64,493","62,955","7,909","16,826","13,196","15,189","7,616","9,822",40.1,"44,034","71,552","4,243","1,144","2,420","60,506",45688,47653,72070,25678,37112,49128,24743,58623,50691,30976,54167,25401,179.0,144800
